الدخل الشهري,2025/05/28,المتبقي,المتبقي بعد الجدول,اجمالي الفائض,اجمالي الميزانية المحدده,,,,,,,
راتب,4200,420,420,204,116,,,,,,,
اخرى,200,,,,,,,,,,,
اجمالي الارصده,0,,,,,,,,,,,
,,,,,,,,,,,,
التاريخ,التصنيف,التفاصيل,المبلغ المدفوع,الميزانية المحدده,الملاحظات,وسيلة الدفع,شهري / مؤقت / سنوي,الحالة,الفائض,أولوية الاقتطاع,نسبة الاقتطاع,مبلغ الاقتطاع
2025/05/28,ثابت,فاتورة كهرباء,429,500,,💳بطاقة,شهري,✅ مدفوع,71,لا,0,0
2025/05/28,ثابت,قسط سيارة,817,818,,سحب بنكي,شهري,✅ مدفوع,1,لا,0,0
2025/05/28,ثابت,فاتورة النت,288,320,,ٍِSAB,شهري,✅ مدفوع,32,لا,0,0
2025/05/24,ثابت,فاتورة الجوال,80,80,,سحب بنكي,شهري,✅ مدفوع,0,لا,0,0
2025/05/28,شبة ثابت,تمارا,666,666,مؤقت/دفعتين,💳بطاقة,⚠️مؤقت,✅ مدفوع,0,لا,0,0
,ثابت,بنزين,400,500,تلقائي,,شهري,⏳ مجدول,,لضرورة,0٫2,80
,ثابت,صندوق الطوارى,100,100,,,,❌ لم يُدفع,,لطوارى,1,100
2025/05/28,ثابت,استثمار عام,250,300,الراجحي تداول,💳بطاقة,,✅ مدفوع,50,للحاجة,0٫5,125
2025/05/28,ثابت,استثمار خاص,250,300,الراجحي تداول,💳بطاقة,,✅ مدفوع,50,,0٫1,25
,ثابت,صدقة,100,100,,,,❌ لم يُدفع,,نعم,0٫3,30
,شبه ثابت,مصروف يومي,400,500,تلقائي,,,⏳ مجدول,,20%,0٫1,40
,شبه ثابت,ترفية,100,0,,,,❌ لم يُدفع,,نعم,0٫3,30
,,هدايا,100,100,,,,❌ لم يُدفع,,,,
,,,,,,,,⏳ مجدول,,,,215
,,,,,,,,,,,,107٫5
